Driver,Critical_event,Critical_event_order_exposure,Sequence_exposure_critical_events,Crash_other_vehicle,Crash_guardrail,First_glance_response_time,First_glance_direction
6,B,3,CAB,FALSE,FALSE,0.9,Eyes_Forward
7,B,3,CAB,TRUE,FALSE,0.6,Eyes_Forward
8,B,2,CBA,FALSE,FALSE,0.5,Eyes_Forward
9,B,2,ABC,FALSE,FALSE,0.5,Eyes_Forward
10,B,3,ACB,FALSE,FALSE,0.6,Eyes_Forward
11,B,1,BAC,FALSE,FALSE,0.8,Eyes_Forward
12,B,1,BCA,FALSE,FALSE,0.5,Eyes_Dashboard
13,B,3,CAB,FALSE,FALSE,0.4,Eyes_Forward
14,B,2,CBA,FALSE,FALSE,0.6,Eyes_Forward
15,B,2,ABC,FALSE,FALSE,0.6,Eyes_Forward
16,B,3,ACB,FALSE,FALSE,0.4,Eyes_Forward
18,B,1,BCA,FALSE,FALSE,0.4,Eyes_Forward
19,B,3,CAB,FALSE,FALSE,0.5,Eyes_Left
20,B,2,CBA,FALSE,FALSE,0.3,Eyes_Dashboard
21,B,2,ABC,FALSE,FALSE,0.4,Eyes_Left
23,B,1,BAC,FALSE,FALSE,0.4,Eyes_Dashboard
24,B,1,BCA,FALSE,FALSE,0.5,Eyes_Forward
25,B,3,CAB,FALSE,FALSE,0.5,Eyes_Forward
26,B,2,CBA,TRUE,FALSE,0.7,Eyes_Forward
27,B,2,ABC,FALSE,FALSE,0.6,Eyes_Forward
28,B,3,ACB,FALSE,FALSE,0.4,Eyes_Forward
29,B,1,BAC,FALSE,FALSE,0.6,Eyes_Forward
30,B,1,BCA,FALSE,FALSE,0.6,Eyes_Forward
31,B,3,CAB,FALSE,FALSE,0.5,Eyes_Forward
32,B,2,CBA,FALSE,FALSE,0.4,Eyes_Forward
33,B,2,ABC,FALSE,FALSE,0.7,Eyes_Forward
34,B,3,ACB,FALSE,FALSE,0.5,Eyes_Forward
35,B,1,BAC,FALSE,FALSE,0.6,Eyes_Forward
36,B,1,BCA,FALSE,FALSE,0.5,Eyes_Forward
37,B,3,CAB,FALSE,FALSE,0.4,Eyes_Forward
38,B,2,CBA,FALSE,FALSE,0.5,Eyes_Left
40,B,3,ACB,FALSE,FALSE,0.5,Eyes_Forward
41,B,1,BAC,FALSE,FALSE,0.3,Eyes_Dashboard
42,B,1,BCA,FALSE,FALSE,0.3,Eyes_Forward
43,B,3,CAB,FALSE,FALSE,0.5,Eyes_Forward
44,B,2,CBA,FALSE,FALSE,0.4,Eyes_Left
0,C,1,CBA,FALSE,FALSE,0.5,Eyes_Forward
1,C,3,ABC,FALSE,FALSE,0.6,Eyes_Forward
2,C,2,ACB,FALSE,FALSE,0.2,Eyes_Forward
3,C,3,BAC,FALSE,FALSE,0.4,Eyes_Left
4,C,3,BAC,FALSE,FALSE,0.6,Eyes_Forward
5,C,2,BCA,FALSE,FALSE,0.5,Eyes_Left
6,C,1,CAB,FALSE,FALSE,0.5,Eyes_Left
7,C,1,CAB,FALSE,FALSE,0.7,Eyes_Forward
8,C,1,CBA,FALSE,FALSE,0.6,Eyes_Dashboard
9,C,3,ABC,FALSE,FALSE,0.3,Eyes_Left
10,C,2,ACB,FALSE,FALSE,0.4,Eyes_Forward
11,C,3,BAC,FALSE,FALSE,0.5,Eyes_Left
12,C,2,BCA,FALSE,FALSE,0.6,Eyes_Forward
13,C,1,CAB,FALSE,FALSE,0.5,Eyes_Forward
15,C,3,ABC,FALSE,FALSE,0.5,Eyes_Forward
